spelling	pronunciation	definitionCn	memoryMarkup	example	translation	collocation	collocationMeaning	note
additional	/əˈdɪʃənəl/	adj. 额外的；附加的。	订房以为已经付清，到店又多收一笔早餐费。那笔后来加上的钱，就是 an additional charge。盯住 add 的加，记额外。	Please allow additional time for the security check.	请为安检预留额外时间。	additional information	补充信息	与 original 原有的相对；不必带意外或不合理的意思。
address	/əˈdres/	n. 地址；演说。v. 写地址；向……讲话；处理。	信封上的 address 告诉邮差信要送到哪。人对着听众讲话，是把话送给他们；address a problem 则是把注意力送到问题上，着手处理。	We need to address the reasons why students are leaving.	我们需要处理学生离开的原因。	address a problem	处理问题	处理不等于已经解决；美音名词也常首音节重读。
adequacy	/ˈædɪkwəsi/	n. 充分；足够；适当。	仓库里还剩二十箱水，到底够不够一整天用？adequate 说够用，adequacy 就是这份“够不够”的程度。	The review questioned the adequacy of the safety measures.	审查质疑这些安全措施是否充分。	the adequacy of resources	资源的充足程度	与 adequate 对照；不表示越多越好，关键是满足用途。
adequate	/ˈædɪkwət/	adj. 足够的；合乎需要的。	带去野餐的水刚好够大家喝到回家，没人渴着，也没剩一大箱。adequate 就记“够这个用途”。不必豪华，也不缺该有的。	The room provides adequate space for six people.	这个房间的空间足够六个人使用。	adequate for	对……足够	adequate 强调达到需要的程度，不一定是优秀。
adequately	/ˈædɪkwətli/	adv. 充分地；足够地；适当地。	窗缝堵好了，暖气修好了，房间终于能把人暖和住。adequately heated 就是供暖达到了需要，adequate 加 -ly 描写事情做得怎样。	The report did not adequately explain the delay.	报告未能充分解释延误原因。	adequately prepared	准备充分的	修饰动词、分词或形容词，不放在普通名词前替代 adequate。
adjective	/ˈædʒɪktɪv/	n. 形容词。	桌上先放一个 apple，再给它添上 red、fresh。苹果没换，样子和状态说清楚了；这些贴在名词身边描述它的词，就是 adjective。	In this sentence, 'quiet' is an adjective.	在这个句子里，quiet 是形容词。	an adjective phrase	形容词短语	形容词也可放在系动词后作表语，不只出现在名词前。
adjust	/əˈdʒʌst/	v. 调整；调节；适应。	字形里有 just，借 just right 的“刚刚好”来记。台灯太亮，旋钮往回拧一点，调到正合适，就是 adjust。	She adjusted the chair before sitting down to work.	她调整好椅子，才坐下来工作。	adjust to	适应	just right 是助记联系，不作为真实词源解释。
adjustment	/əˈdʒʌstmənt/	n. 调整；调节；适应。	裤脚长了一点，裁缝折进去两厘米，这一小处改动就是 an adjustment。adjust 是调，adjustment 是调的过程或结果。	A small adjustment made the machine run smoothly.	稍作调整，机器就运转顺畅了。	make an adjustment	作出调整	可数时指一次或一项调整；适应过程也可用不可数形式。
administer	/ədˈmɪnɪstə/	v. 管理；执行；施用、给予。	看见词里的 minister，联想到负责事务的人。排预算、办流程，把日常事务管起来，是 administer；按流程给药、执行测试，也用这个动词。	The fund is administered by an independent committee.	这笔基金由一个独立委员会管理。	administer a test	组织实施测试	administer medicine 表给药；administer a test 表施测，不能都译成管理。
administrate	/ədˈmɪnɪstreɪt/	v. 管理；掌管。	和 administer 放在同一张办公桌上记，都在处理事务。administrate 多出一个 -ate 的词尾，看见它仍要回到“管理”，别多造一层陌生意思。	The organisation was set up to administrate the scholarship scheme.	该组织成立是为了管理奖学金计划。	administrate a programme	管理一个项目	本词较少用，通常可用更常见的 administer；不据此删去考纲词条。
administration	/ədˌmɪnɪˈstreɪʃən/	n. 管理；行政；行政部门；政府。	报名、缴费、开证明，最后都找到同一间办公室。administer 是把事务管起来，administration 可以指这份管理工作，也可以指忙着办这些事的部门。	She works in university administration.	她从事大学行政管理工作。	public administration	公共行政	美式政治语境中可指某届政府；不能所有语境都译为政府。
administrative	/ədˈmɪnɪstrətɪv/	adj. 行政的；管理的。	老师准备讲课，办公室则在排课表、办手续。后面这一类为日常运转服务的事务，常用 administrative 来修饰。	The change will reduce administrative costs.	这项变动将降低行政管理成本。	administrative staff	行政人员	重音同 administration 不一样，按本词音标读。
admirable	/ˈædmərəbəl/	adj. 值得钦佩的；令人赞赏的。	雨越下越大，志愿者还在耐心帮老人搬东西。看完你心里服气，这种表现很 admirable。admire 是佩服，admirable 是值得佩服。	Her patience with the younger children was admirable.	她对年幼孩子表现出的耐心令人钦佩。	an admirable quality	值得钦佩的品质	本词重音在第一音节，别照着 admire 读。
admiration	/ˌædməˈreɪʃən/	n. 钦佩；赞赏。	同学把一道难题讲得明明白白，你原本皱着的眉头松开，忍不住点头。admire 是佩服他，admiration 是心里生出的那份钦佩。	I have great admiration for her courage.	我十分钦佩她的勇气。	admiration for	对……的钦佩	对人的钦佩用 for；不用直接套 admire 的及物结构。
admire	/ədˈmaɪə/	v. 钦佩；欣赏。	抬头看完一位选手的精彩表现，你由衷说了声“厉害”。这个愿意认真看、心里服气的动作，记成 admire。也可站在画前静静欣赏。	I admire the way she handles difficult questions.	我欣赏她处理棘手问题的方式。	admire sb. for sth.	因某事钦佩某人	欣赏风景可以用 admire the view；不用 admire at。
admission	/ədˈmɪʃən/	n. 准许进入；入场费；入学；承认。	门口买票、拿录取通知书，都是让你进到某个地方或群体里。先记 admission 的准入，再把 admit 承认错误的那一义连过来，an admission of guilt 是认错。	Admission to the exhibition is free on Sundays.	这个展览周日免费入场。	admission to university	大学入学	admission 还能指入场费；不要与只强调物理进入的 admittance 完全混同。
admit	/ədˈmɪt/	v. 承认；准许进入；接收入院或入学。	门打开，让人进来，是 admit；心里的门也开了，让一件自己不愿说的事实进来，就能记住承认。画面用来串义，别当字面构词。	He admitted making a mistake in the calculation.	他承认计算时犯了错。	admit doing sth.	承认做过某事	过去式、过去分词 admitted 双写 t；现在分词 admitting。
admittance	/ədˈmɪtəns/	n. 进入；准入。	机房门上写 No admittance，门外的人停下脚步。把 admittance 记在这道实际的门前，表示进入许可，比 admission 的用法窄一些。	Only staff are allowed admittance to the storage area.	只有工作人员获准进入储藏区。	gain admittance to	获准进入	通常不可数；常见于禁止进入的标牌或正式语境。
admittedly	/ədˈmɪtɪdli/	adv. 诚然；不可否认地。	讨论一套方案，你先把它的短处放到桌上，Admittedly, it is expensive，价格确实高。先承认这一点，再接着说自己的判断，就是 admittedly。	Admittedly, the route is longer, but it is much safer.	诚然，这条路更远，不过安全得多。	admittedly difficult	诚然有难度的	常作句子副词，表示说话人先承认某一事实。
