spelling,tags,target_word_ids,decision,reason,translation_reference,inflections_reference,source_id
dusk,gk cet4 cet6 ky,"[""cet4-w-7a5c79713714883b6a80""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 薄暮, 傍晚, 黄昏
a. 微暗的
v. (使)微暗",s:dusks/i:dusking/p:dusked/3:dusks/d:dusked,ecdict-bc015ed2e24a
dust,gk cet4 cet6 ky ielts,"[""cet4-w-c1472f54ac2acf65ca67""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末",i:dusting/p:dusted/d:dusted/s:dusts/3:dusts,ecdict-bc015ed2e24a
duty,zk gk cet4 cet6 ky ielts,"[""cet4-w-9a9c3aa05b614df77cc0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 责任, 关税, 职务, 尊敬
[化] 职责",s:duties,ecdict-bc015ed2e24a
dwelling,cet4 cet6 ky toefl gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 住处
[医] 住房",s:dwellings/i:dwelling/0:dwelling/1:i,ecdict-bc015ed2e24a
dye,cet4 cet6 ky toefl,"[""cet4-w-aabd5ca28d696915bb4b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色",s:dyes/d:dyed/i:dyeing/p:dyed/3:dyes,ecdict-bc015ed2e24a
dying,cet4 cet6,"[""cet4-w-5b1264beb21f1da02ba9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 垂死的
[法] 快要死的, 垂死的, 临终的",0:die/1:i/i:dying,ecdict-bc015ed2e24a
dynamic,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-1e0a74b5de6421f65221""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
[计] 动态的",,ecdict-bc015ed2e24a
eager,gk cet4 cet6 ky toefl,"[""cet4-w-b23c6f4c7ca3e00a35e3""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 热心的, 渴望的, 热望的",,ecdict-bc015ed2e24a
eagle,gk cet4 cet6 ky ielts,"[""cet4-w-e47dad92352f6b05087a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 鹰, 鹰状标饰",s:eagles/p:eagled/d:eagled/i:eagling/3:eagles,ecdict-bc015ed2e24a
earn,gk cet4 ky,"[""cet4-w-e0a8fbf7b0c3e65346ae""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 赚得, 获得, 博得
[计] 欧州科学研究网",i:earning/d:earned/p:earned/3:earns,ecdict-bc015ed2e24a
earnest,cet4 cet6 ky toefl gre,"[""cet4-w-bdd1c5413ca942b91479""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 定金, 诚挚, 认真
a. 认真的, 热心的, 重要的",s:earnests,ecdict-bc015ed2e24a
earthquake,gk cet4 cet6 ky toefl,"[""cet4-w-43c9ba30a23f52ed55d2""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,n. 地震,s:earthquakes,ecdict-bc015ed2e24a
ease,gk cet4 cet6 ky ielts,"[""cet4-w-b0d8521d27faeb701aa8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 安乐, 安逸, 悠闲
vt. 使安乐, 使安心, 减轻, 放松
vi. 减轻, 放松, 灵活地移动",p:eased/i:easing/d:eased/3:eases,ecdict-bc015ed2e24a
easily,gk cet4,"[""cet4-w-89ae4148866d718eb202""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"adv. 容易地, 轻易地, 流利地",,ecdict-bc015ed2e24a
eastern,gk cet4 ky ielts,"[""cet4-w-0e47eff4c3b489e9f823""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 东方人, 东正教徒
a. 东方的, 向东的, 自东的",,ecdict-bc015ed2e24a
echo,cet4 cet6 ky toefl ielts,"[""cet4-w-aa2f4bbf45bfc4eabd8d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
[计] 回显; DOS批处理命令:控制MS-DOS命令是否在屏幕上显示",p:echoed/s:echoes/d:echoed/i:echoing/3:echoes,ecdict-bc015ed2e24a
economic,cet4 cet6 ky toefl ielts,"[""cet4-w-37386e789aedadddfea8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 经济上的, 实用的, 节省的
[经] 经济的",,ecdict-bc015ed2e24a
economical,cet4 cet6 ky toefl ielts gre,"[""cet4-w-af40f4c468d81d1feb40""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 节俭的, 经济的, 合算的
[经] 经济的, 节约的",,ecdict-bc015ed2e24a
economics,cet4 cet6 ky toefl ielts,"[""cet4-w-ee990516a5ee58a7aeaa""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 经济学
[经] 经济学",,ecdict-bc015ed2e24a
economy,cet4 cet6 ky ielts,"[""cet4-w-b580555c3d78fe9424cf""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 经济, 理财, 节约
[医] 经济, 整体",s:economies,ecdict-bc015ed2e24a
edge,zk gk cet4 cet6 ky toefl ielts,"[""cet4-w-127056da48afdf6946c5""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动",s:edges/p:edged/i:edging/d:edged/3:edges,ecdict-bc015ed2e24a
edition,gk cet4 cet6 ky ielts,"[""cet4-w-3066ebacf712b0d133b0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 版本, 版, 翻版",s:editions,ecdict-bc015ed2e24a
editor,gk cet4 cet6 ky ielts,"[""cet4-w-c49ebe5abc58c64e2c01""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
[计] 编辑器",s:editors,ecdict-bc015ed2e24a
editorial,cet4 cet6 ky ielts,"[""cet4-w-2b642be7b33a52841c5d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的",s:editorials,ecdict-bc015ed2e24a
educate,gk cet4 ky,"[""cet4-w-aed0b1472ac8797f3e91""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 教育, 培养, 训练",d:educated/i:educating/3:educates/p:educated,ecdict-bc015ed2e24a
education,zk gk cet4 ky toefl ielts,"[""cet4-w-f086911b1637a99e7586""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 教育, 训练, 教育学
[医] 教育, 训练",,ecdict-bc015ed2e24a
effect,gk cet4 cet6 ky toefl ielts,"[""cet4-w-76288eafb4032e494803""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
[计] 效果",s:effects/d:effected/i:effecting/p:effected/3:effects,ecdict-bc015ed2e24a
effective,cet4 cet6 ky toefl ielts,"[""cet4-w-20862e6595ab6cc4f589""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 有效的, 有力的, 实际的
n. 有生力量",,ecdict-bc015ed2e24a
efficiency,cet4 cet6 ky toefl,"[""cet4-w-94443591cca1b51da9df""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 效率, 效能, 功效
[医] 效率, 效力",s:efficiencies,ecdict-bc015ed2e24a
efficient,cet4 cet6 ky toefl ielts,"[""cet4-w-09dd840e52cd9ed53f40""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 有效率的, 能干的",,ecdict-bc015ed2e24a
effort,zk gk cet4 cet6 ky,"[""cet4-w-84b460d8275a3097e1a9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 努力, 成就",s:efforts,ecdict-bc015ed2e24a
eighteen,zk gk cet4 ky,"[""cet4-w-2c9a06c91b15c80a3781""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"num. 十八, 十八个",,ecdict-bc015ed2e24a
eighty,zk gk cet4 ky,"[""cet4-w-3ed99a0cdd21a93098e8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"num. 八十, 八十个",,ecdict-bc015ed2e24a
elaborate,cet4 cet6 ky toefl ielts gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明",d:elaborated/p:elaborated/i:elaborating/3:elaborates,ecdict-bc015ed2e24a
elastic,cet4 cet6 ky ielts,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的",s:elastics,ecdict-bc015ed2e24a
elbow,cet4 cet6 ky toefl ielts gre,"[""cet4-w-277dfc113609160679a6""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤",s:elbows/p:elbowed/i:elbowing/d:elbowed/3:elbows,ecdict-bc015ed2e24a
elder,zk gk cet4 ky ielts,"[""cet4-w-51bbfee70b7711755b45""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 年长者, 老人, 前辈
a. 年长的, 资深的",r:elder/0:elder/1:r/s:elders,ecdict-bc015ed2e24a
elderly,cet4 ky ielts,"[""cet4-w-49290be752bb39a6b246""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 过了中年的, 稍老的",,ecdict-bc015ed2e24a
elect,gk cet4 ky,"[""cet4-w-1ccea80bb4ec72f6237f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择",d:elected/p:elected/i:electing/3:elects,ecdict-bc015ed2e24a
election,cet4 cet6 toefl,"[""cet4-w-c19f84f4f18614cf3f87""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 选举, 当选, 选择权
[法] 选举, 当选",s:elections,ecdict-bc015ed2e24a
electric,zk gk cet4 cet6 ky,"[""cet4-w-994a35a0b5e5bd3dec7a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 电的, 导电的, 电动的
[医] 电的",s:electrics,ecdict-bc015ed2e24a
electrical,gk cet4 cet6 ky ielts,"[""cet4-w-9d3581155f9980612d7c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 电的, 有关电的
[医] 电的",s:electricals,ecdict-bc015ed2e24a
electricity,gk cet4 cet6 ky ielts,"[""cet4-w-b0a13ca44330bf5f6cc8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 电, 电流, 电学, 热情, 电力供应
[化] 电学; 电",,ecdict-bc015ed2e24a
electron,cet4 cet6 ky toefl,"[""cet4-w-5905f90b55479e94ec44""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 电子
[化] 电子",s:electrons,ecdict-bc015ed2e24a
electronic,gk cet4 cet6 ky ielts,"[""cet4-w-813a0e670245295bc0be""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 电子的
[计] 电子工业协会接口",,ecdict-bc015ed2e24a
electronics,cet4 cet6 ielts,"[""cet4-w-0f4f827e1d9b82cbe7a3""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 电子学
[计] 电子学",,ecdict-bc015ed2e24a
element,cet4 cet6 ky toefl,"[""cet4-w-f31955cd24765a200371""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 元件, 元素, 要素
[计] 部分; 成分; 单元; 码元; 元件; 元素; 单元",s:elements,ecdict-bc015ed2e24a
elementary,cet4 cet6 ky toefl ielts gre,"[""cet4-w-69f9cc83b7110e767ccd""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 初步的, 基本的
[医] 元素的, 基础的, 初级的",,ecdict-bc015ed2e24a
elephant,zk gk cet4 cet6 ky,"[""cet4-w-3797e7214fce6e5cccd5""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,n. 象,s:elephants,ecdict-bc015ed2e24a
elevator,cet4 cet6 ky toefl ielts,"[""cet4-w-05ab3e49542d3954e719""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 电梯, 升降机
[化] 提升机",s:elevators,ecdict-bc015ed2e24a
eliminate,cet4 cet6 ky toefl ielts gre,"[""cet4-w-49c98b5c53462141023a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 除去, 排除, 剔除, 消除",d:eliminated/i:eliminating/3:eliminates/p:eliminated,ecdict-bc015ed2e24a
elimination,cet4 cet6 toefl,"[""cet4-w-4af13d2e14bb38a32c4b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 除去, 消除, 消灭
[化] 消去; 脱去",s:eliminations,ecdict-bc015ed2e24a
elsewhere,cet4 cet6 ky ielts,"[""cet4-w-962c2082101e7e09090d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,adv. 在别处,,ecdict-bc015ed2e24a
embarrass,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-dd0b2fe634f320233385""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 使困窘, 使局促不安, 阻碍",p:embarrassed/d:embarrassed/i:embarrassing/3:embarrasses,ecdict-bc015ed2e24a
embrace,cet4 cet6 ky toefl ielts gre,"[""cet4-w-b229bb75a66e39b9bc73""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱",i:embracing/p:embraced/3:embraces/d:embraced/s:embraces,ecdict-bc015ed2e24a
emerge,cet4 cet6 ky toefl ielts,"[""cet4-w-fc955721cdeab3fdf902""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vi. 浮现, 形成, 出现, (事实)显露",p:emerged/d:emerged/3:emerges/i:emerging,ecdict-bc015ed2e24a
emergency,gk cet4 cet6 ky ielts gre,"[""cet4-w-e638b9b0eab75e3936d4""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 紧急状况, 紧急事件, 紧急需要
[化] 紧急情况",s:emergencies,ecdict-bc015ed2e24a
emit,cet4 cet6 ky toefl ielts gre,"[""cet4-w-485c595d07aa4877fc41""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 发出, 放射, 发表(意见等), 散发, 发行
[化] 放射",p:emitted/i:emitting/3:emits/d:emitted/s:emits,ecdict-bc015ed2e24a
emotion,cet4 cet6 ky toefl ielts,"[""cet4-w-7b5a9936882014052480""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 情绪, 激动, 强烈的情感
[医] 情绪, 情感",s:emotions,ecdict-bc015ed2e24a
emotional,cet4 cet6 toefl,"[""cet4-w-7f3c8a41714d7460cb7c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 情绪的, 情感的
[医] 情绪的",,ecdict-bc015ed2e24a
emperor,gk cet4 cet6 ky ielts,"[""cet4-w-98e427a7c23588cf7b80""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 皇帝, 君主",s:emperors,ecdict-bc015ed2e24a
emphasis,cet4 cet6 ky toefl,"[""cet4-w-f336bc2a623e3cff7f67""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 强调, 加强, 重点, 强语气",,ecdict-bc015ed2e24a
emphasize,cet4 cet6 ky toefl ielts,"[""cet4-w-d516617c53a98c547c83""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 强调, 加强语气, 着重",d:emphasized/p:emphasized/3:emphasizes/i:emphasizing,ecdict-bc015ed2e24a
empire,gk cet4 cet6 ky,"[""cet4-w-893ac5d14998bae31676""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 帝国, 帝权",s:empires,ecdict-bc015ed2e24a
employ,gk cet4 cet6 ky toefl,"[""cet4-w-e66d250ef65008b7031c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 雇用
vt. 雇用, 使用, 使从事于",d:employed/3:employs/p:employed/i:employing,ecdict-bc015ed2e24a
employee,cet4 cet6 ky toefl ielts,"[""cet4-w-3dd065df60d7ca9814c8""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 职员, 员工, 受雇人员
[化] 职工; 雇员",s:employees,ecdict-bc015ed2e24a
employer,cet4 cet6 ky toefl ielts,"[""cet4-w-0401d032f51dec55a6f9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 雇主, 老板
[经] 雇主, 业主",s:employers,ecdict-bc015ed2e24a
employment,cet4 cet6 ky ielts,"[""cet4-w-87c3d06396be69e907b2""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 雇用, 职业, 工作
[经] 职业, 雇用, 职工招请",s:employments,ecdict-bc015ed2e24a
enable,cet4 cet6 ky toefl,"[""cet4-w-c87b5d351d670ef64440""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 使能够
[计] 允许, 使能, 打开",3:enables/p:enabled/i:enabling/d:enabled,ecdict-bc015ed2e24a
enclose,cet4 cet6 ky toefl ielts,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"vt. 围绕, 圈起, 放入封套, 附上",d:enclosed/i:enclosing/p:enclosed/3:encloses,ecdict-bc015ed2e24a
encounter,cet4 cet6 ky toefl ielts gre,"[""cet4-w-63b776f270dd41c9d047""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇",d:encountered/s:encounters/p:encountered/3:encounters/i:encountering,ecdict-bc015ed2e24a
encourage,zk gk cet4 cet6 ky toefl,"[""cet4-w-bbc492236f73766777b2""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长",d:encouraged/p:encouraged/3:encourages/i:encouraging,ecdict-bc015ed2e24a
ending,gk cet4 cet6 ky ielts,"[""cet4-w-978c97ec4cddf1442181""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 终止, 终了, 收场
[医] 末梢",0:end/1:i/s:endings/i:ending,ecdict-bc015ed2e24a
endless,gk cet4 cet6 toefl,"[""cet4-w-e60249a42a5fe2a797f0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 不停的, 无穷尽的, 无尽的
[机] 无端的, 环状的",,ecdict-bc015ed2e24a
endure,cet4 cet6 ky toefl gre,"[""cet4-w-46c634a763ad995bbdbd""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
[计] 仍能工作, 继续工作",d:endured/p:endured/3:endures/i:enduring,ecdict-bc015ed2e24a
enemy,zk gk cet4 ky,"[""cet4-w-d70c5d60e4464843dcaf""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 敌人, 仇敌, 敌军
a. 敌人的",s:enemies,ecdict-bc015ed2e24a
energy,zk cet4 cet6 ky ielts,"[""cet4-w-5b86c4b6f5203f8e9151""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 精力, 精神, 活力, 能量
[化] 能; 能量",s:energies,ecdict-bc015ed2e24a
enforce,cet4 cet6 ky ielts,"[""cet4-w-f9b21b585055e631a64f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 强迫, 执行, 坚持
[经] 予以强制执行",d:enforced/i:enforcing/p:enforced/3:enforces,ecdict-bc015ed2e24a
engage,cet4 cet6 ky toefl ielts,"[""cet4-w-13a2acf04c20dfaaf34b""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vi. 答应, 从事, 交战
vt. 使忙碌, 雇佣, 预定, 使从事于, 使参加",d:engaged/p:engaged/i:engaging/3:engages,ecdict-bc015ed2e24a
engine,gk cet4 cet6 ky ielts,"[""cet4-w-07b15b1453fc7dfc093d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 引擎, 发动机, 机车
vt. 安装发动机于",s:engines/p:engined,ecdict-bc015ed2e24a
engineer,zk gk cet4 cet6 ky ielts,"[""cet4-w-e6bf243dba8e797b2c16""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划",s:engineers/d:engineered/p:engineered/i:engineering/3:engineers,ecdict-bc015ed2e24a
engineering,cet4 cet6 ky ielts,"[""cet4-w-76ccd0b3bb54c9593755""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 工程学, 工程, 操纵
[化] 机器; 机器学",i:engineering/0:engineering/1:i,ecdict-bc015ed2e24a
Englishman,cet4,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,n. 英国人,s:englishmen,ecdict-bc015ed2e24a
enhance,cet4 cet6 ky toefl ielts gre,"[""cet4-w-08f09c987bdcd12e1411""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 提高, 加强, 增加",d:enhanced/i:enhancing/3:enhances/p:enhanced,ecdict-bc015ed2e24a
enlarge,gk cet4 cet6 ky,"[""cet4-w-dbffa6787f1b22820b5f""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 扩大, 增大
vi. 扩大, 详述",d:enlarged/i:enlarging/p:enlarged/3:enlarges/s:enlarges,ecdict-bc015ed2e24a
enormous,cet4 cet6 ky toefl ielts gre,"[""cet4-w-d68add0e3ad6e92b6f2d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 巨大的, 庞大的",,ecdict-bc015ed2e24a
enroll,cet4 cet6 ky toefl ielts,"[""cet4-w-e16f179c2052565d4a03""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 登记, 使加入
vi. 参军, 注册",i:enrolling/p:enrolled/3:enrols/d:enrolled,ecdict-bc015ed2e24a
ensure,cet4 cet6 ky gre,"[""cet4-w-5bd9188546abff1b1a5c""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 确定, 保证, 担保, 保护
[经] 确保, 确定",i:ensuring/3:ensures/p:ensured/d:ensured,ecdict-bc015ed2e24a
enter,zk gk cet4 ky,"[""cet4-w-adde5c46496b14ff05ae""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
[计] 输入, 回车",p:entered/d:entered/i:entering/3:enters,ecdict-bc015ed2e24a
entertain,cet4 cet6 ky toefl,"[""cet4-w-a0e3fd3b77355e696733""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 娱乐, 招待, 怀抱
vi. 款待",d:entertained/p:entertained/i:entertaining/3:entertains,ecdict-bc015ed2e24a
entertainment,gk cet4 cet6 ky toefl ielts,"[""cet4-w-fb9005ef665f6c50d87a""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 娱乐, 款待, 娱乐表演",s:entertainments,ecdict-bc015ed2e24a
enthusiasm,cet4 cet6 ky toefl ielts,"[""cet4-w-47f5fef12cefed39e6b5""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 巨大的热情, 热心",s:enthusiasms,ecdict-bc015ed2e24a
enthusiastic,gk cet4 cet6 ky ielts,"[""cet4-w-cf4af8bfd7d7050f1db0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"a. 狂热的, 热心的, 热烈的",,ecdict-bc015ed2e24a
entire,gk cet4 cet6 ky,"[""cet4-w-ddebba8f844d63ec66b0""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 整个, 全部
a. 全体的, 完全的, 全部的",,ecdict-bc015ed2e24a
entitle,cet4 cet6 ky toefl ielts gre,"[""cet4-w-bdeaf677d3ef139afbfa""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼",d:entitled/3:entitles/p:entitled/i:entitling,ecdict-bc015ed2e24a
entrance,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-f80c1f333878872d6e84""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
[计] 入口",s:entrances/d:entranced/p:entranced/i:entrancing/3:entrances,ecdict-bc015ed2e24a
entry,gk cet4 cet6 ky toefl ielts gre,"[""cet4-w-2ee836e047732c8ba260""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 登录, 条目, 进入, 入口, 报关
[计] 登录项, 输入项, 条目",s:entries,ecdict-bc015ed2e24a
envelope,gk cet4 cet6 ky,"[""cet4-w-791728a895f14ca0b8d9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 信封, 封套, 封袋
[医] 膜, 包袋",s:envelopes/3:envelopes,ecdict-bc015ed2e24a
environment,zk gk cet4 cet6 ky ielts,"[""cet4-w-c1aca416bd255d2254ff""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 环境, 外界, 围绕
[计] 环境",s:environments,ecdict-bc015ed2e24a
envy,gk cet4 cet6 ky ielts,"[""cet4-w-e397d7dc650cc99ec5d1""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 羡慕, 嫉妒
vt. 羡慕, 嫉妒",p:envied/d:envied/i:envying/3:envies/s:envies,ecdict-bc015ed2e24a
episode,cet4 cet6 ky toefl ielts gre,"[""cet4-w-216b9db4abd9f69c8fa9""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 插曲, 插话, 有趣的事件, 一段情节
[医] 插话, 插曲, 发作",s:episodes,ecdict-bc015ed2e24a
equal,gk cet4 cet6 ky toefl ielts,"[""cet4-w-7e1a30e2d9a7be355212""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 对手, 匹敌, 同辈
a. 相等的, 平等的, 胜任的, 合适的, 平静的, 不相上下的
vt. 等于, 比得上
[计] 等长度编码",3:equals/s:equals/d:equalled/p:equalled/i:equalling,ecdict-bc015ed2e24a
equality,gk cet4 cet6 ky toefl,"[""cet4-w-79e4f0ad47056b2235e1""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"n. 平等, 均匀, 相等
[法] 同等, 平等, 相等",s:equalities,ecdict-bc015ed2e24a
equation,cet4 cet6 ky toefl ielts gre,[],outside_selected_syllabus,ECDICT 标签仅作候选；所选考纲四级范围无对应词形，不自动加入。,"n. 相等, 等式, 平衡
[化] 方程式; 等式; 反应式; 公式",s:equations,ecdict-bc015ed2e24a
equip,gk cet4 cet6 ky toefl,"[""cet4-w-5f1080c271a40d87944d""]",in_selected_syllabus,与当前考纲词形或已登记拼写变体相符。,"vt. 装备, 配备
[机] 设备, 装置",d:equipped/i:equipping/p:equipped/3:equips,ecdict-bc015ed2e24a
